0,Consultant,Main New Gloss.1,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Session,Scene,Start,End,vid_links
407,Naomi,DEAF-APPLAUSE,DEAF-APPLAUSE,5,5,5,5,N,ASL_2008_08_04,12,1320,1342,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_105.mov
408,Brady,DEAF-APPLAUSE,DEAF-APPLAUSE,5,5,5,5,N,ASL_2011_06_08_Brady,12,6122,6153,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_105.mov
409,Liz,APPLE,APPLE,X,,X,,N,ASL_2008_01_11,18,826,865,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_106.mov
410,Tyler,APPLE,APPLE,X,,X,,N,ASL_2008_05_12a,12,2340,2360,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_106.mov
411,Naomi,APPLE,APPLE,X,,X,,N,ASL_2008_08_04,12,1525,1546,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_106.mov
412,Brady,APPLE,APPLE,X,,X,,N,ASL_2011_06_08_Brady,12,6398,6409,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_106.mov
413,Dana,APPLE,APPLE,X,,X,,N,ASL_2007_05_24,5,3231,3275,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_106.mov
414,Lana,APPLE,(S)APPLE,S,,S,,N,ASL_2006_10_10,2,2754,2775,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_5532.mov
415,Liz,APPLY,APPLY,V/2,1,V/2,1,N,ASL_2008_01_11,18,1225,1255,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_107.mov
416,Liz,APPLY,APPLY,V/2,1,V/2,1,N,ASL_2008_01_11,18,1865,1905,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3324.mov
417,Naomi,APPLY,APPLY,V/2,1,V/2,1,N,ASL_2008_08_04,12,1777,1803,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_107.mov
418,Naomi,APPLY,APPLY,V/2,1,V/2,1,N,ASL_2008_08_04,12,2302,2335,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3324.mov
419,Brady,APPLY,APPLY,V/2,1,V/2,1,N,ASL_2011_06_08_Brady,12,6628,6637,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_107.mov
420,Brady,APPLY,APPLY,V/2,1,V/2,1,N,ASL_2011_07_22_Brady,37,1538,1556,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3324.mov
421,Liz,APPOINT,APPOINT,S,,S,,N,ASL_2008_01_11,19,625,665,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_110.mov
422,Tyler,APPOINT,APPOINT,S,,S,,N,ASL_2008_05_12a,12,5082,5115,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_110.mov
423,Naomi,APPOINT,APPOINT,S,,S,,N,ASL_2008_08_04,12,2715,2735,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_110.mov
424,Brady,APPOINT,APPOINT,S,,S,,N,ASL_2011_06_08_Brady,12,7112,7132,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_110.mov
425,Liz,APPOINTMENT,APPOINTMENT,5,5,A,A,N,ASL_2008_01_11,19,1306,1345,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_112.mov
426,Tyler,APPOINTMENT,APPOINTMENT,5,crvd-flat-B,S,S,N,ASL_2008_05_12a,13,685,732,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_112.mov
427,Tyler,APPOINTMENT,APPOINTMENT,5,crvd-5,S,S,N,ASL_2008_05_12a,13,1000,1027,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3435.mov
428,Naomi,APPOINTMENT,APPOINTMENT,5,crvd-5,S,S,N,ASL_2008_08_04,13,823,850,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_112.mov
429,Naomi,APPOINTMENT,APPOINTMENT,crvd-5,crvd-5,S,S,N,ASL_2008_08_04,13,1418,1442,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3435.mov
430,Brady,APPOINTMENT,APPOINTMENT,5,5,A,A,N,ASL_2011_07_22_Brady,37,1735,1766,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_112.mov
431,Lana,APPOINTMENT,APPOINTMENT,5,crvd-5,S,S,N,ASL_2006_10_10,2,2878,2906,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_112.mov
432,Dana,APPOINTMENT,APPOINTMENT,5,5,S,S,N,ASL_2007_05_24,5,3362,3437,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_112.mov
433,Liz,APPOINTMENT,(A)APPOINTMENT,A,A,A,A,N,ASL_2008_01_11,19,1090,1131,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3442.mov
434,Liz,APPOINTMENT,(nd-S)APPOINTMENT,crvd-sprd-B,S,S,S,N,ASL_2008_02_29,12,866,930,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5091.mov
435,Brady,APPOINTMENT,(nd-S)APPOINTMENT,crvd-5,S,A,S,N,ASL_2011_06_08_Brady,12,8701,8731,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5091.mov
436,Tyler,LATCH,LATCH,5,S,S,S,N,ASL_2008_06_10,3,4022,4051,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15683.mov
437,Brady,LATCH,LATCH,5,S,S,S,N,ASL_2011_06_14_Brady,50,4552,4579,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15683.mov
438,Liz,LOCK,LOCK,S,S,S,S,N,ASL_2008_02_01,52,307,347,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15684.mov
439,Naomi,LOCK,LOCK,S,S,S,S,N,ASL_2008_08_04,28,1522,1545,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15684.mov
440,Brady,LOCK,LOCK,S,S,S,S,N,ASL_2011_06_14_Brady,50,5429,5459,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15684.mov
441,Naomi,LOCK,LOCK_2,crvd-5,crvd-5,S,S,N,ASL_2008_08_13_session2,6,3746,3768,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15685.mov
442,Liz,REGULAR,REGULAR++,1,1,1,1,N,ASL_2008_02_29,8,3331,3400,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_116.mov
443,Tyler,REGULAR,REGULAR++,1,1,1,1,N,ASL_2008_05_12a,13,1920,1962,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_116.mov
444,Naomi,REGULAR,REGULAR++,bent-1,1,bent-1,1,N,ASL_2008_08_04,13,2201,2246,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_116.mov
445,Brady,REGULAR,REGULAR+,1,1,1,1,N,ASL_2011_06_08_Brady,12,9999,10033,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_116.mov
446,Brady,REGULAR,REGULAR+,1,1,1,1,N,ASL_2011_07_19_Brady,53,2355,2383,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5899.mov
447,Lana,REGULAR,REGULAR++,1,1,1,1,N,ASL_2006_10_10,20,562,619,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_116.mov
448,Dana,REGULAR,REGULAR++,1,1,1,1,N,ASL_2007_05_24,22,426,491,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_116.mov
449,Tyler,APPROVE,APPROVE,S,B-L,P/K,B-L,N,ASL_2008_05_12a,13,2152,2185,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_117.mov
450,Naomi,APPROVE,APPROVE,S,crvd-B,P/K,crvd-B,N,ASL_2008_08_04,13,2566,2592,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_117.mov
451,Liz,STAMP-SEAL,STAMP-SEAL,10,B-L,10,B-L,N,ASL_2008_02_29,25,45,80,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5092.mov
452,Brady,STAMP-SEAL,STAMP-SEAL,10,B-L,10,B-L,N,ASL_2011_07_19_Brady,75,1179,1197,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5092.mov
453,Liz,APPROVE/VETO,APPROVE/VETO,S,crvd-B,S,crvd-B,N,ASL_2008_01_11,20,595,636,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16149.mov
454,Brady,BACKSTAB,BACKSTAB,S,B-L,S,B-L,N,ASL_2011_06_08_Brady,12,10278,10300,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16237.mov
455,Naomi,SHOOT-ARROW,SHOOT-ARROW,A,S,B-L,S,N,ASL_2008_08_04,13,3895,3940,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_120.mov
456,Liz,SHOOT-ARROW,SHOOT-ARROW_2,A,S,U/H,S,N,ASL_2008_01_11,20,1590,1635,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5387.mov
457,Brady,(cocked-8)SHOOT-ARROW,(cocked-8)SHOOT-ARROW,cocked-8,cocked-8,4,4,N,ASL_2011_06_08_Brady,12,11186,11210,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5388.mov
458,Tyler,(Horns)SHOOT-ARROW,(Horns)SHOOT-ARROW,Horns,S,4,S,N,ASL_2008_05_12a,13,3036,3067,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_5389.mov
459,Liz,GUITAR,GUITAR++,loose-E,loose-E,loose-E,loose-E,N,ASL_2008_01_11,21,246,290,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_122.mov
460,Liz,GUITAR,GUITAR+++,A,10,A,10,N,ASL_2008_02_01,13,2030,2095,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3650.mov
461,Liz,GUITAR,GUITAR++,crvd-5,5-C-L,crvd-5,5-C-L,N,ASL_2008_02_01,13,2440,2521,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3651.mov
462,Tyler,GUITAR,GUITAR++,5-C-L,A,5-C-L,A,N,ASL_2008_05_12a,14,526,565,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_122.mov
463,Tyler,GUITAR,GUITAR++,crvd-5,10,crvd-5,10,N,ASL_2008_05_29a,43,1980,2030,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3650.mov
464,Tyler,GUITAR,GUITAR++,crvd-sprd-B,10,crvd-sprd-B,10,N,ASL_2008_05_29a,43,2206,2246,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3651.mov
465,Naomi,GUITAR,GUITAR++,F/9,E,F/9,E,N,ASL_2008_08_04,14,603,650,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_122.mov
466,Naomi,GUITAR,GUITAR++,flat-O,full-M,flat-O,full-M,N,ASL_2008_08_13,11,2307,2380,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3650.mov
467,Naomi,GUITAR,GUITAR++,5,10,5,10,N,ASL_2008_08_13,11,2622,2695,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3651.mov
468,Brady,GUITAR,GUITAR++,crvd-5,10,crvd-5,10,N,ASL_2011_06_08_Brady,12,11733,11772,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_122.mov
469,Brady,GUITAR,GUITAR++,crvd-5,5-C-L,crvd-5,5-C-L,N,ASL_2011_06_14_Brady,30,251,286,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3650.mov
470,Brady,GUITAR,GUITAR++,crvd-5,5-C-L,crvd-5,5-C-L,N,ASL_2011_06_14_Brady,30,542,574,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3651.mov
471,Liz,ns-ARIZONA,ns-ARIZONA,A,,A,,N,ASL_2008_01_11,21,695,730,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_124.mov
472,Naomi,ns-ARIZONA,ns-ARIZONA,A,,A,,N,ASL_2008_08_04,14,1047,1075,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_124.mov
473,Brady,ns-ARIZONA,ns-ARIZONA,A,,A,,N,ASL_2011_06_08_Brady,13,250,272,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_124.mov
474,Liz,ARRIVE,ARRIVE,bent-B-L,crvd-B,crvd-B,crvd-B,N,ASL_2008_01_11,21,1485,1515,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_127.mov
475,Liz,ARRIVE,ARRIVE,B-L,B-L,B-L,B-L,N,ASL_2008_01_11,43,460,500,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3577.mov
476,Liz,ARRIVE,ARRIVE,B-L,B-L,B-L,B-L,N,ASL_2008_01_11,50,1915,1950,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3582.mov
477,Tyler,ARRIVE,ARRIVE,bent-B-L,crvd-B,crvd-B,crvd-B,N,ASL_2008_05_12a,14,2090,2120,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_127.mov
478,Naomi,ARRIVE,ARRIVE,crvd-B,crvd-B,crvd-B,crvd-B,N,ASL_2008_08_04,14,1838,1862,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_127.mov
479,Brady,ARRIVE,ARRIVE,B-L,B-L,B-L,B-L,N,ASL_2011_06_08_Brady,13,2629,2649,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_127.mov
480,Brady,ARRIVE,ARRIVE,B-L,B-L,B-L,B-L,N,ASL_2011_06_08_Brady,21,7068,7089,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3577.mov
481,Lana,ARRIVE,ARRIVE,bent-B-L,B-L,B-L,B-L,N,ASL_2006_01_20,22,402,451,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_127.mov
482,Liz,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2008_01_11,22,355,400,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_128.mov
483,Liz,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2008_01_18,23,1610,1667,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3843.mov
484,Tyler,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2008_05_12a,14,2320,2365,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_128.mov
485,Tyler,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2008_05_29a,3,1832,1880,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3843.mov
486,Tyler,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2008_05_29a,3,2095,2141,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3855.mov
487,Naomi,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2008_08_04,14,2127,2153,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_128.mov
488,Naomi,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2008_08_06,23,1500,1525,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3843.mov
489,Brady,ART/DESIGN,ART/DESIGN,I,B-L,I,B-L,N,ASL_2011_06_14_Brady,7,250,294,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_128.mov
490,Liz,ART/DESIGN,ART/DESIGN_2+,I,B-L,I,B-L,N,ASL_2008_01_18,23,1825,1866,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5897.mov
491,Naomi,ART/DESIGN,ART/DESIGN_2+,I,B-L,I,B-L,N,ASL_2008_08_06,23,1720,1760,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_5897.mov
492,Brady,ART/DESIGN,ART/DESIGN_2+,I,B-L,I,B-L,N,ASL_2011_06_08_Brady,13,2878,2907,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5897.mov
493,Brady,ART/DESIGN,ART/DESIGN_2+,I,B-L,I,B-L,N,ASL_2011_06_14_Brady,7,514,545,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5989.mov
494,Brady,ART/DESIGN,ART/DESIGN_2+,I,B-L,I,B-L,N,ASL_2011_07_22_Brady,42,844,879,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16219.mov
495,Liz,ART/DESIGN,(D)ART/DESIGN,D,B-L,D,B-L,N,ASL_2008_01_18,15,1302,1336,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16220.mov
496,Tyler,ART/DESIGN,(D)ART/DESIGN,D,B-L,D,B-L,N,ASL_2008_05_12b,15,1110,1146,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16220.mov
497,Naomi,ART/DESIGN,(D)ART/DESIGN,D,B-L,D,B-L,N,ASL_2008_08_06,15,1381,1411,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16220.mov
498,Tyler,ARTICLE,ARTICLE+,crvd-L,B-L,crvd-L,B-L,N,ASL_2008_05_12a,14,2596,2645,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_129.mov
499,Naomi,ARTICLE,ARTICLE,L-X,B-L,L-X,B-L,N,ASL_2008_08_04,14,2540,2565,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_129.mov
500,Brady,ARTICLE,ARTICLE,L-X,B-L,L-X,B-L,N,ASL_2011_06_08_Brady,13,3660,3683,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_129.mov
501,Lana,ARTICLE,ARTICLE,crvd-L,B-L,crvd-L,B-L,N,ASL_2006_10_10,3,649,669,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_129.mov
502,Dana,ARTICLE,ARTICLE,crvd-L,B-L,crvd-L,B-L,N,ASL_2007_05_24,7,580,640,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_129.mov
503,Liz,CHAPTER,CHAPTER,C,B-L,C,B-L,N,ASL_2008_01_11,70,1145,1170,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5038.mov
504,Naomi,CHAPTER,CHAPTER,crvd-B,B-L,crvd-B,B-L,N,ASL_2008_08_04,44,3007,3042,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_5038.mov
505,Naomi,ns-ASIA,ns-ASIA,A,,5,,N,ASL_2008_08_04,15,1955,1998,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_133.mov
506,Brady,ns-ASIA,ns-ASIA,A,,5,,N,ASL_2011_06_08_Brady,13,6313,6346,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_133.mov
507,Brady,ns-ASIA,ns-ASIA,A,,5,,N,ASL_2011_06_14_Brady,12,7486,7519,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3573.mov
508,Liz,ns-ASIA,ns-ASIA_2,A,,5,,N,ASL_2008_01_11,23,225,295,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16265.mov
509,Liz,(A)ns-ASIA,(A)ns-ASIA,A,,A,,N,ASL_2008_01_11,22,1590,1650,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16276.mov
510,Liz,SOCIAL/INTERACT,SOCIAL/INTERACT+,10,10,10,10,N,ASL_2008_01_11,23,1075,1125,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_138.mov
511,Naomi,SOCIAL/INTERACT,SOCIAL/INTERACT+,10,10,10,10,N,ASL_2008_08_04,15,2845,2905,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_138.mov
512,Brady,SOCIAL/INTERACT,SOCIAL/INTERACT+,10,10,10,10,N,ASL_2011_06_08_Brady,13,8245,8282,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_138.mov
513,Liz,ns-ATHENS,ns-ATHENS,10,B-L,10,B-L,N,ASL_2008_01_11,24,335,370,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_140.mov
514,Brady,ns-ATHENS,ns-ATHENS,10,B-L,10,B-L,N,ASL_2011_06_08_Brady,13,15974,16004,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_140.mov
515,Liz,ns-ATLANTA,ns-ATLANTA,A,,A,,N,ASL_2008_01_11,24,555,595,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_141.mov
516,Tyler,ns-ATLANTA,ns-ATLANTA,A,,A,,N,ASL_2008_05_12a,16,560,592,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_141.mov
