,Consultant,Main New Gloss.1,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Session,Scene,Start,End,vid_links
318,Liz,MILLION,MILLION,bent-B-L,B-L,bent-B-L,B-L,N,ASL_2008_02_15,23,1365,1410,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16100.mov
319,Lana,MILLION,MILLION,bent-B-L,B-L,bent-B-L,B-L,N,ASL_2006_10_10,19,2687,2709,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_16099.mov
320,Dana,MILLION,MILLION,bent-B-L,B-L,bent-B-L,B-L,N,ASL_2007_05_24,21,2621,2656,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_16099.mov
322,Liz,BILLION,BILLION,bent-B-L,B-L,bent-B-L,B-L,N,ASL_2008_01_11,42,1405,1435,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16101.mov
323,Brady,BILLION,BILLION,bent-B-L,B-L,bent-B-L,B-L,N,ASL_2011_07_19_Brady,2,2448,2485,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16101.mov
325,Tyler,BILLION,BILLION_2+,bent-B-L,B-L,bent-B-L,B-L,N,ASL_2008_05_12a,27,657,710,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16102.mov
326,Tyler,BILLION,BILLION_2,bent-B-L,B-L,bent-B-L,B-L,N,ASL_2008_06_10,15,717,746,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16198.mov
328,Liz,OLD,OLD+,C,,S,,N,ASL_2008_01_11,9,1463,1505,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_65.mov
329,Tyler,OLD,OLD++,C,,S,,N,ASL_2008_05_12a,8,1325,1377,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_65.mov
330,Naomi,OLD,OLD,C,,S,,N,ASL_2008_08_04,7,1460,1487,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_65.mov
331,Brady,OLD,OLD,5-C,,S,,N,ASL_2011_06_08_Brady,9,8308,8326,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_65.mov
333,Lana,OLD,OLD_2,C,,S,,N,ASL_2006_10_10,20,1095,1125,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_5288.mov
334,Dana,OLD,OLD_2,C,,S,,N,ASL_2007_05_24,22,994,1044,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_5288.mov
336,Liz,OLD,(S)OLD,S,,S,,N,ASL_2008_02_15,23,2115,2150,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16415.mov
337,Brady,OLD,(S)OLD,S,,S,,N,ASL_2011_07_19_Brady,19,322,350,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16415.mov
339,Tyler,AGREE,AGREE,1,1,1,1,N,ASL_2008_05_12a,8,2737,2770,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_68.mov
340,Naomi,AGREE,AGREE,1,1,1,1,N,ASL_2008_08_04,7,3592,3617,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_68.mov
341,Brady,AGREE,AGREE,1,1,1,1,N,ASL_2011_06_08_Brady,10,371,390,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_68.mov
343,Lana,AGREE,AGREE:i,1,1,1,1,N,ASL_2006_10_10,2,1944,1968,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_5946.mov
344,Dana,AGREE,AGREE:i,1,1,1,1,N,ASL_2007_05_24,5,2276,2315,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_5946.mov
346,Liz,THINK+AGREE,THINK+AGREE,1,,1,1,N,ASL_2008_01_11,10,656,700,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5947.mov
348,Tyler,AIR,AIR,5,,5,,N,ASL_2008_05_12a,8,3491,3520,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_70.mov
350,Liz,AIRPLANE,AIRPLANE+,I-L-Y,,I-L-Y,,N,ASL_2008_01_11,10,1575,1605,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_71.mov
351,Liz,AIRPLANE,AIRPLANE,I-L-Y,,I-L-Y,,N,ASL_2010_08_10_Liz_additional_lexicon_signs,8,1580,1625,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3422.mov
352,Tyler,AIRPLANE,AIRPLANE+,I-L-Y,,I-L-Y,,N,ASL_2008_05_12a,9,327,362,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_71.mov
353,Naomi,AIRPLANE,AIRPLANE+,I-L-Y,,I-L-Y,,N,ASL_2008_08_04,8,273,305,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_71.mov
354,Brady,AIRPLANE,AIRPLANE+,I-L-Y,,I-L-Y,,N,ASL_2011_06_08_Brady,10,1230,1253,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_71.mov
355,Brady,AIRPLANE,AIRPLANE,bent-I-L-Y,,bent-I-L-Y,,N,ASL_2011_06_08_Brady,10,1484,1511,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3422.mov
356,Lana,AIRPLANE,AIRPLANE+,I-L-Y,,I-L-Y,,N,ASL_2006_10_10,2,1795,1821,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_71.mov
357,Dana,AIRPLANE,AIRPLANE+,I-L-Y,,I-L-Y,,N,ASL_2007_05_24,5,2128,2167,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_71.mov
359,Liz,FLY-BY-PLANE,FLY-BY-PLANE,I-L-Y,,I-L-Y,,N,ASL_2008_01_18,45,2570,2600,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15594.mov
360,Tyler,FLY-BY-PLANE,FLY-BY-PLANE,I-L-Y,,I-L-Y,,N,ASL_2008_05_29a,25,3225,3250,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15594.mov
361,Naomi,FLY-BY-PLANE,FLY-BY-PLANE,I-L-Y,,I-L-Y,,N,ASL_2008_08_06,45,3045,3065,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15594.mov
362,Brady,FLY-BY-PLANE,FLY-BY-PLANE,I-L-Y,,I-L-Y,,N,ASL_2011_06_14_Brady,20,5233,5248,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15594.mov
363,Brady,FLY-BY-PLANE,FLY-BY-PLANE,I-L-Y,,I-L-Y,,N,ASL_2011_07_22_Brady,43,925,949,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15598.mov
364,Lana,FLY-BY-PLANE,FLY-BY-PLANE,I-L-Y,,I-L-Y,,N,ASL_2006_10_10,11,819,850,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_15594.mov
365,Dana,FLY-BY-PLANE,FLY-BY-PLANE,I-L-Y,,I-L-Y,,N,ASL_2007_05_24,14,729,792,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_15594.mov
367,Liz,ALARM,ALARM+,1,B-L,1,B-L,N,ASL_2008_01_11,10,1775,1805,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_72.mov
368,Tyler,ALARM,ALARM++,1,B-L,1,B-L,N,ASL_2008_05_12a,9,537,575,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_72.mov
369,Tyler,ALARM,ALARM+++,1,B-L,1,B-L,N,ASL_2008_05_12a,25,1281,1332,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3310.mov
370,Naomi,ALARM,ALARM++,1,B-L,1,B-L,N,ASL_2008_08_04,8,478,527,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_72.mov
371,Naomi,ALARM,ALARM+,D,B-L,D,B-L,N,ASL_2008_08_04,26,1493,1525,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3310.mov
372,Brady,ALARM,ALARM++,1,B-L,1,B-L,N,ASL_2011_06_08_Brady,10,1766,1792,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_72.mov
374,Liz,ALCOHOL,ALCOHOL+,Horns,Horns,Horns,Horns,N,ASL_2008_02_01,51,612,652,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_73.mov
375,Tyler,ALCOHOL,ALCOHOL++,Horns,Horns,Horns,Horns,N,ASL_2008_06_10,3,627,664,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_73.mov
376,Naomi,ALCOHOL,ALCOHOL+,Horns,Horns,Horns,Horns,N,ASL_2008_08_13_session2,6,335,361,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_73.mov
377,Brady,ALCOHOL,ALCOHOL+,Horns,Horns,Horns,Horns,N,ASL_2011_06_14_Brady,50,2044,2078,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_73.mov
379,Liz,SARCASM,SARCASM,Horns,Horns,Horns,Horns,N,ASL_2008_03_28,22,2796,2842,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3977.mov
380,Liz,SARCASM,SARCASM,Horns,Horns,Horns,Horns,N,ASL_2010_08_10_Liz_additional_lexicon_signs,20,2000,2075,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5089.mov
381,Brady,SARCASM,SARCASM,Horns,Horns,Horns,Horns,N,ASL_2011_06_14_Brady,42,942,966,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3977.mov
382,Brady,SARCASM,SARCASM,Horns,Horns,Horns,Horns,N,ASL_2011_07_19_Brady,72,1277,1307,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5089.mov
383,Brady,SARCASM,SARCASM,Horns,Horns,Horns,Horns,N,ASL_2011_07_22_Brady,11,1067,1102,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16041.mov
385,Liz,ALL,ALL,B-L,B-L,B-L,B-L,N,ASL_2008_01_11,11,470,520,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_74.mov
386,Tyler,ALL,ALL,B-L,B-L,B-L,B-L,N,ASL_2008_05_12a,9,1045,1075,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_74.mov
387,Naomi,ALL,ALL,B-L,B-L,B-L,B-L,N,ASL_2008_08_04,8,1680,1712,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_74.mov
388,Brady,ALL,ALL,B-L,B-L,B-L,B-L,N,ASL_2011_06_08_Brady,10,7564,7593,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_74.mov
389,Lana,ALL,ALL,B-L,B-L,B-L,B-L,N,ASL_2006_10_10,2,2222,2254,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_74.mov
390,Dana,ALL,ALL,B-L,B-L,B-L,B-L,N,ASL_2007_05_24,5,2573,2616,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_74.mov
392,Liz,#ALL,#ALL,A,,L,,N,ASL_2008_01_11,12,275,300,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3930.mov
393,Tyler,#ALL,#ALL,A,,L,,N,ASL_2008_05_12a,9,2542,2570,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3930.mov
394,Naomi,#ALL,#ALL,A,,L,,N,ASL_2008_08_04,8,2922,2942,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3930.mov
395,Brady,#ALL,#ALL,A,,L,,N,ASL_2011_06_08_Brady,10,7838,7857,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3930.mov
396,Dana,#ALL,#ALL,A,,L,,N,ASL_2007_05_24,5,450,488,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_3930.mov
398,Lana,#ALL,#ALL_2,A,,L,,N,ASL_2006_10_10,2,396,416,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_15007.mov
400,Liz,ALL-DAY,ALL-DAY,B-L,B-L,B-L,B-L,Y,ASL_2008_01_11,11,706,765,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_75.mov
401,Tyler,ALL-DAY,ALL-DAY,B-L,B-L,5,B-L,Y,ASL_2008_05_12a,9,1312,1345,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_75.mov
402,Naomi,ALL-DAY,ALL-DAY,crvd-B,B-L,B-L,B-L,Y,ASL_2008_08_04,8,1950,1988,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_75.mov
403,Brady,ALL-DAY,ALL-DAY,B,B,5,B,Y,ASL_2011_06_08_Brady,10,8057,8085,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_75.mov
405,Liz,RUN-OUT,RUN-OUT,5,B-L,S,B-L,N,ASL_2008_01_11,11,950,980,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_76.mov
406,Tyler,RUN-OUT,RUN-OUT,5,B-L,S,B-L,N,ASL_2008_05_12a,9,1612,1640,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_76.mov
407,Naomi,RUN-OUT,RUN-OUT,5,B-L,S,B-L,N,ASL_2008_08_04,8,2210,2241,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_76.mov
408,Brady,RUN-OUT,RUN-OUT,5,B-L,S,B-L,N,ASL_2011_06_08_Brady,10,8299,8319,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_76.mov
409,Lana,RUN-OUT,RUN-OUT,5,B-L,S,B-L,N,ASL_2006_10_10,24,1080,1093,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_76.mov
411,Liz,ALL-RIGHT,ALL-RIGHT+,B-L,B-L,B-L,B-L,N,ASL_2008_01_11,11,1440,1475,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_78.mov
412,Tyler,ALL-RIGHT,ALL-RIGHT++,B-L,B-L,B-L,B-L,N,ASL_2008_05_12a,9,2300,2335,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_78.mov
413,Naomi,ALL-RIGHT,ALL-RIGHT++,crvd-B,crvd-B,crvd-B,crvd-B,N,ASL_2008_08_04,8,2680,2722,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_78.mov
414,Brady,ALL-RIGHT,ALL-RIGHT+,B-L,B-L,B-L,B-L,N,ASL_2011_06_08_Brady,10,8767,8789,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_78.mov
415,Lana,ALL-RIGHT,ALL-RIGHT+,B-L,B-L,B-L,B-L,N,ASL_2006_10_10,2,2365,2396,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_78.mov
416,Dana,ALL-RIGHT,ALL-RIGHT+,B-L,B-L,B-L,B-L,N,ASL_2007_05_24,5,2750,2781,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_78.mov
418,Liz,ALLIGATOR,ALLIGATOR,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_01_11,12,476,515,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_80.mov
419,Tyler,ALLIGATOR,ALLIGATOR+,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_05_12a,9,2821,2890,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_80.mov
420,Naomi,ALLIGATOR,ALLIGATOR,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_08_04,8,3180,3217,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_80.mov
421,Brady,ALLIGATOR,ALLIGATOR,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2011_06_08_Brady,10,9239,9269,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_80.mov
423,Liz,ALLOW,ALLOW,B-L,B-L,B-L,B-L,N,ASL_2008_01_11,12,665,685,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_81.mov
424,Liz,ALLOW,ALLOW,B-L,B-L,B-L,B-L,N,ASL_2008_02_01,47,1405,1430,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3671.mov
425,Tyler,ALLOW,ALLOW,B-L,B-L,B-L,B-L,N,ASL_2008_05_12a,10,630,646,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_81.mov
426,Tyler,ALLOW,ALLOW,B-L,B-L,B-L,B-L,N,ASL_2008_05_29b,19,2542,2567,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3671.mov
427,Naomi,ALLOW,ALLOW,B-L,B-L,B-L,B-L,N,ASL_2008_08_04,9,363,377,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_81.mov
428,Naomi,ALLOW,ALLOW,bent-B-L,bent-B-L,B-L,B-L,N,ASL_2008_08_13_session2,2,2517,2535,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3671.mov
429,Brady,ALLOW,ALLOW,B-L,B-L,B-L,B-L,N,ASL_2011_06_08_Brady,10,10020,10040,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_81.mov
430,Brady,ALLOW,ALLOW,B-L,B-L,B-L,B-L,N,ASL_2011_06_14_Brady,48,3924,3938,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3671.mov
432,Liz,PERMIT,PERMIT,P/K,P/K,P/K,P/K,N,ASL_2008_02_15,36,752,785,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5642.mov
433,Liz,PERMIT,PERMIT+,P/K,P/K,P/K,P/K,N,ASL_2008_02_15,49,855,897,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5648.mov
434,Brady,PERMIT,PERMIT,P/K,P/K,P/K,P/K,N,ASL_2011_07_19_Brady,30,2981,2992,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5642.mov
435,Brady,PERMIT,PERMIT,P/K,P/K,P/K,P/K,N,ASL_2011_07_19_Brady,43,1407,1416,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5648.mov
436,Lana,PERMIT,PERMIT,P/K,P/K,P/K,P/K,N,ASL_2006_10_10,20,2752,2759,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_5642.mov
437,Dana,PERMIT,PERMIT,P/K,P/K,P/K,P/K,N,ASL_2007_05_24,22,2791,2806,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_5642.mov
439,Liz,A-LOT,A-LOT,5,5,5,5,N,ASL_2008_01_11,12,1060,1091,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_83.mov
440,Liz,A-LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_02_01,25,2125,2150,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3656.mov
441,Tyler,A-LOT,A-LOT,5,5,5,5,N,ASL_2008_05_12a,10,1350,1371,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_83.mov
442,Tyler,A-LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_05_29a,15,1680,1711,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3656.mov
443,Naomi,A-LOT,A-LOT,5,5,crvd-5,crvd-5,N,ASL_2008_08_04,9,815,838,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_83.mov
444,Naomi,A-LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_08_13,21,4503,4527,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3656.mov
445,Brady,A-LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2011_06_08_Brady,11,1212,1237,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_83.mov
446,Brady,A-LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2011_06_14_Brady,14,3394,3420,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3656.mov
447,Brady,A-LOT,A-LOT,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2011_06_14_Brady,37,5364,5384,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15757.mov
449,Liz,ns-AMERICA,ns-AMERICA+,5,5,5,5,N,ASL_2008_01_11,13,770,830,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_87.mov
450,Tyler,ns-AMERICA,ns-AMERICA+,5,5,5,5,N,ASL_2008_05_12a,10,2655,2705,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_87.mov
451,Naomi,ns-AMERICA,ns-AMERICA+,5,5,5,5,N,ASL_2008_08_04,9,2350,2402,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_87.mov
